etID  | Input | Early-Proto-Southwest-Semitic | Pre-Ge'ez | Output {GOLD}
0      | #jilabbis# | #jilabbis# | #jilabbis# | #jɨlɘbbɨs# {GOLD: #jɨlɘbbɨs#}
1      | #labisa# | #labisa# | #labisa# | #lɘbsɘ# {GOLD: #lɘbsɘ#}
2      | #kˀatala# | #kˀatala# | #kˀatala# | #kˀɘtɘlɘ# {GOLD: #kˀɘtɘlɘ#}
3      | #jiðbaħ# | #jizbaħ# | #jizbaːħ# | #jɨzbaħ# {GOLD: #jɨzbaħ#}
4      | #jat͡sɡud# | #jasɡud# | #jusɡud# | #jɨsɡɨd# {GOLD: #jɨsɡɨd#}
5      | #samiʕa# | #samiʕa# | #samiʕa# | #sɘmʕɘ# {GOLD: #sɘmʕɘ#}
6      | #samaːjum# | #samaːju# | #samaːj# | #sɘmaj# {GOLD: #sɘmaj#}
7      | #tiɬˀabbaʔuː# | #tiɬˀabbaʔuː# | #tiɬˀabbuʔuː# | #tɨɬˀɘbbɨʔu# {GOLD: #tɨɬˀɘbbɨʔu#}
8      | #kawuna# | #kawuna# | #kawuna# | #konɘ# {GOLD: #konɘ#}
9      | #θˀumʔam# | #sˀumʔa# | #sˀumʔa# | #sˀɨmʔɘ# {GOLD: #sˀɨmʔɘ#}
10     | #ðiʔbim# | #ziʔbi# | #ziʔb# | #zɨʔb# {GOLD: #zɨʔb#}
11     | #d͡zalala# | #zalala# | #zalala# | #zɘlɘlɘ# {GOLD: #zɘlɘlɘ#}
12     | #d͡zibla#ka# | #zibla#ka# | #zibla#ka# | #zɨblɘ#kɘ# {GOLD: #zɨblɘ#kɘ#}
13     | #mawɬˀaʔum# | #mawɬˀaʔu# | #mawɬˀaːʔ# | #moɬˀaʔ# {GOLD: #moɬˀaʔ#}
14     | #jirbaħ# | #jirbaħ# | #jirbaːħ# | #jɨrbaħ# {GOLD: #jɨrbaħ#}
15     | #bajtam# | #bajta# | #bajta# | #betɘ# {GOLD: #betɘ#}
16     | #jipkˀaʕ# | #jifkˀaʕ# | #jifkˀaːʕ# | #jɨfkˀaʕ# {GOLD: #jɨfkˀaʕ#}
17     | #ʔaɬwaːkum# | #ʔaɬwaːku# | #ʔaɬwaːk# | #ʔɘɬwak# {GOLD: #ʔɘɬwaːk#}
18     | #ɬajiba# | #ɬajiba# | #ɬajiba# | #ɬebɘ# {GOLD: #ɬebɘ#}
19     | #maθˀlimum# | #masˀlimu# | #masˀlim# | #mɘsˀlɨm# {GOLD: #mɘsˀlɨm#}
20     | #t͡sˀallaja# | #sˀallaja# | #sˀallaja# | #sˀɘllɘjɘ# {GOLD: #sˀɘllɘjɘ#}
21     | #kullam# | #kulla# | #kʷulla# | #kʷɨllɘ# {GOLD: #kʷɨllɘ#}
22     | #ɡubnatum# | #ɡubnatu# | #ɡʷubnat# | #ɡʷɨbnɘt# {GOLD: #ɡʷɨbnɘt#}
23     | #kˀurbaːnum# | #kˀurbaːnu# | #kˀʷurbaːn# | #kˀʷɨrban# {GOLD: #kˀʷɨrban#}
24     | #xulkˀum# | #xulkˀu# | #xʷulkˀʷ# | #xʷɨlkˀʷ# {GOLD: #xʷɨlkˀʷ#}
25     | #xariːpum# | #xariːfu# | #xariːf# | #xɘrif# {GOLD: #xɘrif#}
